Judet,UAT,Localitate,Siruta,"Nr sectie de votare","Nume sectie de votare",Mediu,"Votanti pe lista permanenta","Votanti pe lista complementara",LP,LC,LS,UM,LT,"Barbati 18-24","Barbati 25-34","Barbati 35-44","Barbati 45-64","Barbati 65+","Femei 18-24","Femei 25-34","Femei 35-44","Femei 45-64","Femei 65+","Barbati 18","Barbati 19","Barbati 20","Barbati 21","Barbati 22","Barbati 23","Barbati 24","Barbati 25","Barbati 26","Barbati 27","Barbati 28","Barbati 29","Barbati 30","Barbati 31","Barbati 32","Barbati 33","Barbati 34","Barbati 35","Barbati 36","Barbati 37","Barbati 38","Barbati 39","Barbati 40","Barbati 41","Barbati 42","Barbati 43","Barbati 44","Barbati 45","Barbati 46","Barbati 47","Barbati 48","Barbati 49","Barbati 50","Barbati 51","Barbati 52","Barbati 53","Barbati 54","Barbati 55","Barbati 56","Barbati 57","Barbati 58","Barbati 59","Barbati 60","Barbati 61","Barbati 62","Barbati 63","Barbati 64","Barbati 65","Barbati 66","Barbati 67","Barbati 68","Barbati 69","Barbati 70","Barbati 71","Barbati 72","Barbati 73","Barbati 74","Barbati 75","Barbati 76","Barbati 77","Barbati 78","Barbati 79","Barbati 80","Barbati 81","Barbati 82","Barbati 83","Barbati 84","Barbati 85","Barbati 86","Barbati 87","Barbati 88","Barbati 89","Barbati 90","Barbati 91","Barbati 92","Barbati 93","Barbati 94","Barbati 95","Barbati 96","Barbati 97","Barbati 98","Barbati 99","Barbati 100","Barbati 101","Barbati 102","Barbati 103","Barbati 104","Barbati 105","Barbati 106","Barbati 107","Barbati 108","Barbati 109","Barbati 110","Barbati 111","Barbati 112","Barbati 113","Barbati 114","Barbati 115","Barbati 116","Barbati 117","Barbati 118","Barbati 119","Barbati 120","Femei 18","Femei 19","Femei 20","Femei 21","Femei 22","Femei 23","Femei 24","Femei 25","Femei 26","Femei 27","Femei 28","Femei 29","Femei 30","Femei 31","Femei 32","Femei 33","Femei 34","Femei 35","Femei 36","Femei 37","Femei 38","Femei 39","Femei 40","Femei 41","Femei 42","Femei 43","Femei 44","Femei 45","Femei 46","Femei 47","Femei 48","Femei 49","Femei 50","Femei 51","Femei 52","Femei 53","Femei 54","Femei 55","Femei 56","Femei 57","Femei 58","Femei 59","Femei 60","Femei 61","Femei 62","Femei 63","Femei 64","Femei 65","Femei 66","Femei 67","Femei 68","Femei 69","Femei 70","Femei 71","Femei 72","Femei 73","Femei 74","Femei 75","Femei 76","Femei 77","Femei 78","Femei 79","Femei 80","Femei 81","Femei 82","Femei 83","Femei 84","Femei 85","Femei 86","Femei 87","Femei 88","Femei 89","Femei 90","Femei 91","Femei 92","Femei 93","Femei 94","Femei 95","Femei 96","Femei 97","Femei 98","Femei 99","Femei 100","Femei 101","Femei 102","Femei 103","Femei 104","Femei 105","Femei 106","Femei 107","Femei 108","Femei 109","Femei 110","Femei 111","Femei 112","Femei 113","Femei 114","Femei 115","Femei 116","Femei 117","Femei 118","Femei 119","Femei 120"
IS,MUNICIPIUL IAŞI,IAŞI,95060,1,GRĂDINIŢA CU PROGRAM NORMAL NR. 15,U,1546,9,483,0,10,0,493,25,48,47,111,27,19,33,49,107,27,4,6,4,1,3,4,3,7,6,4,2,3,7,3,8,3,5,3,3,4,3,6,8,4,4,6,6,6,10,4,9,1,4,4,7,4,7,4,4,3,4,8,13,8,4,5,2,2,2,3,6,2,0,2,1,0,1,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,5,1,2,1,1,4,4,1,7,5,1,5,4,1,4,2,3,2,10,5,8,5,9,6,7,3,3,3,8,8,7,9,3,8,8,4,7,5,2,3,4,4,5,1,1,5,2,4,2,2,2,0,2,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,2,GRĂDINIŢA CU PROGRAM NORMAL NR. 15,U,1359,7,442,0,6,0,448,27,12,48,107,20,29,20,61,99,25,6,8,5,3,4,1,0,2,2,2,1,0,0,1,1,2,1,2,4,2,4,3,2,3,5,10,13,7,11,10,11,6,8,8,12,4,4,4,1,2,1,3,5,1,2,4,3,5,3,1,0,1,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2,6,5,1,4,1,2,1,2,3,1,2,2,2,0,5,2,2,1,3,8,13,11,16,13,13,10,6,8,6,8,3,8,1,3,2,1,3,2,3,3,1,4,1,1,3,2,1,2,3,1,0,1,1,1,0,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,3,ŞCOALA GIMNAZIALĂ ”ELENA CUZA”,U,1376,1,454,0,4,0,458,13,37,55,67,44,17,48,41,82,54,2,3,2,1,2,1,2,2,4,1,1,1,5,3,9,7,4,8,4,4,3,8,6,4,6,4,8,3,4,10,7,2,5,5,4,6,0,0,2,1,0,1,2,2,5,4,4,6,5,7,6,2,6,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,3,5,5,1,5,1,7,6,5,6,2,10,7,3,5,5,4,3,3,5,2,4,6,4,5,5,2,8,7,4,4,2,3,2,3,0,1,6,2,3,8,7,8,6,2,2,3,6,7,3,1,2,0,4,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,4,ŞCOALA GIMNAZIALĂ ”ELENA CUZA”,U,1129,1,336,0,6,0,342,10,29,35,50,39,10,28,45,64,32,1,3,2,2,1,0,1,0,1,0,3,2,1,5,7,4,6,4,5,2,8,4,2,3,3,1,3,5,2,5,2,3,1,3,2,4,1,1,1,0,0,1,1,4,1,6,7,3,9,1,6,4,6,3,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0,1,0,2,1,0,2,6,6,5,3,3,9,3,3,5,4,5,2,6,4,4,6,2,2,4,1,2,4,1,3,2,0,1,0,0,2,7,10,7,6,4,4,4,5,5,4,0,5,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,5,ŞCOALA GIMNAZIALĂ ”ELENA CUZA”,U,1522,0,439,0,10,1,450,20,25,55,62,45,16,32,57,87,51,2,2,3,5,1,4,3,3,1,2,2,2,1,8,2,2,2,6,7,1,6,7,9,7,5,2,5,4,4,4,1,2,6,6,6,6,3,2,3,1,1,0,5,2,3,2,1,4,4,5,4,1,2,7,4,1,3,1,2,1,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,3,1,2,1,2,2,3,2,4,5,7,2,4,9,4,5,7,5,2,6,5,9,5,6,2,4,4,5,7,4,11,1,2,3,4,3,2,3,4,7,4,6,5,6,2,3,3,3,7,9,3,0,4,3,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,6,ŞCOALA GIMNAZIALĂ ”ELENA CUZA”,U,1464,4,448,0,5,0,453,14,33,61,68,48,8,28,56,83,54,2,2,1,3,2,1,3,3,0,2,1,3,5,5,3,10,1,10,7,8,6,4,5,5,3,7,6,7,5,5,6,5,4,1,5,6,1,0,2,1,2,3,2,1,4,3,5,3,6,6,4,3,5,5,3,2,2,0,3,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,3,0,3,2,1,1,5,6,4,3,7,5,8,5,8,3,7,4,5,4,7,5,5,3,6,3,4,6,2,3,3,1,6,4,4,5,2,4,6,4,12,3,5,7,7,5,6,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,7,GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 14,U,1300,2,437,0,6,0,443,21,35,51,64,49,12,38,39,76,58,3,2,2,6,3,2,3,1,4,1,1,5,6,3,6,4,4,5,3,4,5,10,3,3,5,6,7,3,5,3,5,7,2,4,6,2,3,1,1,1,4,3,3,1,3,5,2,4,6,0,4,7,5,6,3,2,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,2,1,2,5,3,6,5,2,2,6,4,3,5,1,3,3,5,9,4,4,4,1,6,6,4,5,0,4,6,8,5,2,2,3,4,2,2,4,1,5,4,3,9,9,4,5,5,5,6,3,2,2,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,8,GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 14,U,1424,2,421,0,10,0,431,19,24,39,66,55,14,34,33,89,58,4,2,5,4,1,3,0,2,2,2,2,3,2,1,3,4,3,6,4,4,5,1,3,4,2,4,6,2,3,8,8,4,2,2,5,6,2,1,2,2,3,5,1,2,1,4,3,6,4,2,3,5,12,6,6,1,2,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,3,0,1,1,5,6,0,6,3,2,4,1,6,7,6,3,3,6,0,1,3,3,1,7,0,7,8,3,2,4,9,5,3,1,2,1,3,2,9,5,6,6,6,6,3,5,9,8,3,9,3,2,3,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,9,GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 14,U,1584,1,494,0,9,1,504,18,45,57,74,53,20,42,52,95,48,2,2,3,2,3,5,1,3,8,2,2,3,4,2,4,8,9,7,9,6,3,6,4,4,8,5,5,5,2,7,4,4,3,5,3,6,1,5,2,3,1,2,3,5,3,5,5,11,4,7,2,3,2,4,4,2,2,2,2,0,0,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,1,3,2,5,2,2,1,4,5,6,4,6,7,12,5,5,0,6,5,4,5,4,6,2,3,3,2,5,3,10,6,5,4,4,1,4,4,8,4,6,9,5,7,6,5,2,1,3,3,9,3,1,3,1,0,1,2,1,1,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,MUNICIPIUL IAŞI,IAŞI,95060,10,GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 14,U,1704,3,540,1,11,0,552,19,42,69,69,48,22,44,75,114,50,2,3,1,4,3,1,5,4,5,2,5,8,1,2,6,5,4,4,4,6,9,10,16,7,6,6,1,5,2,3,5,5,9,3,8,4,1,2,2,1,0,1,0,1,7,5,5,5,6,6,6,5,4,3,5,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,6,2,2,5,1,2,3,6,6,7,6,4,4,9,10,11,6,10,8,8,5,2,6,9,2,10,4,5,9,5,2,4,6,1,0,3,3,5,2,5,15,13,11,10,3,6,4,4,7,7,2,0,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
